codigo_comuna,nombre_comuna,grd_total,grd_chilean,grd_foreign,grd_pct_foreign,grd_mean_los,grd_mean_los_chilean,grd_mean_los_foreign,grd_mean_severity,grd_mortality_rate,grd_top3_chapters,grd_rate_per_10k
13103,Cerro Navia,27846,25523,2323,8.342311283487753,6.379049055519644,6.487638600478,5.185966422729229,1.4767650650003592,3.372118078000431,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A), Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95), Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",2207.5471698113206
13121,Pedro Aguirre Cerda,15537,14355,1182,7.607646263757482,6.553517410053421,6.672309299895507,5.11082910321489,1.6154341249919546,3.6171719122095642,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A), Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95), Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",1628.7870846000628
13132,Vitacura,1790,1550,240,13.40782122905028,5.186033519553073,5.393548387096774,3.845833333333333,1.3011173184357543,2.4581005586592175,"Cap.02  NEOPLASIAS (C00-D49), Cap.07  ENFERMEDADES DEL OJO Y SUS ANEXOS (H00-H59), Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95)",209.35182802741457
